Index,Title,Primary Subject,Secondary Subject,Inscription,Location,Date erected,Erected by,Notes,Count
10,Ann Arbor and Human Rights,Misc.,,"University of Michigan student Jerry DeGrieck and recent graduate Nancy Wechsler, representing the Human Rights Party, won seats on the Ann Arbor City Council in 1972. While in office, they worked with LGBTQ+ rights pioneer Jim Toy to author and introduce the Lesbian-Gay Pride Week Resolution, the first of its kind passed by any governing body in the country. Wechsler and DeGrieck also initiated the Human Rights Ordinance, passed by the city council on July 10, 1972. With it, Ann Arbor joined East Lansing to become the first cities in the United States to protect LGBTQ+ community members from housing discrimination. The council extended the ordinance in December 1972 to include protections for employment and other public accommodations.","42° 16.885′ N, 83° 44.703′ W",2024,"Michigan Historical Commission, Michigan History Center",,1
11,Ann Arbor High School,Colonial/settler,,"Innovative education has been connected to this site ever since the Union School opened in 1856 as a school for all grades (inset above). Ann Arbor's Argus newspaper reported people ""moving here to take advantage of our model Union School."" After the elementary grades moved out in the 1860s, it became Ann Arbor High School. A preparatory school for the university, it had dedicated teachers, challenging classes, and advanced equipment and books. Science teacher Horatio Chute designed comprehensive courses in physics, astronomy, and chemistry that were copied all over the country.

After the old building burned in 1904, the 1907 building (above) featured cutting-edge Chute-designed laboratories, a gymnasium, expanded vocational courses, and an attached public Carnegie Library that was shared with the school. The Daily Times proudly declared it ""the finest publich school building in Michigan, if not in the United States.""

In 1956 Ann Arbor High School moved to its new building on West Stadium, later renamed Pioneer High School. UM had bought the old school and library buildings and named them to honor former Professor Henry Simmons Frieze. Classrooms were used mainly for theater, social work, and languages. Trueblood Auditorium and the Arena Theater provided space for training and performances. The buildings were demolished in 2007 to erect ""North Quad,"" combined dorm and academic buildings mixing students' living and learning spaces. The facade of the Carnegie Library on Huron Street and architectural elements from the old high school were integrated into the new buildings.

Sponsored by Graduates and Faculty of Ann Arbor High School
William E. Austin Jr. (1952), Patty Wadhams Gagalis (1952), Peri Gagalis (1949), Eleanor Guthrie Shaw (1955), William Shaw (1955), Norma Usrey Wonnacott (1942), Al Gallup (Faculty 195-1967)","42° 16.824′ N, 83° 44.444′ W",N/A,Ann Arbor Historical Foundation,,1
12,The Ann Arbor Railroad,Colonial/settler,,"The Toledo & Ann Arbor Railroad reached Ann Arbor in 1878 amid festive celebrations. ""Big Jim"" Ashley, former lawyer, abolitionist, and Ohio congressman, was the driving force behind its construction. Always one to seize opportunities, Ashley pushed the line northwest to Frankfort on Lake Michigan, where his railroad-car ferries were the first in the world to cross a wide body of water.

A new depot (above) was built in 1889 two blocks south of here on Second, soon renamed Ashley Street. The railroad's mainstay was freight. Local merchants had warehouses and sidings where coal, oil, and lumber were unloaded. Passenger traffic was also brisk, especially in summer with vacationers heading to cottages. In autumn football specials from throughout the Midwest brought fans, who disembarked near the stadium. During the game, the engines were turned around for the return trip. Horse-drawn ambulances met patients arriving for treatment at University Hospital. Passenger service ended in 1950, although freight hauling continued. In 1985, after a variety of uses, the depot became a preschool with an old caboose on its playground.","42° 16.784′ N, 83° 44.984′ W",N/A,Ann Arbor Historical Foundation,,1
13,Ann Arbor Streetcars,Colonial/settler,,"In 1908 you could hop on an open-air trolley, ride to the fairgrounds (later Burns Park), and, for 10 cents, see a baseball game. Electric streetcars ran in Ann Arbor from 1890 to 1925. From Main Street, cars followed Detroit Street down to the end of the line near the Michigan Central depot. There the motorman and the conductor reversed the car's direction by swinging the electric pole on the roof around to the other end. For a single fare, a passenger could ride all evening to enjoy the cool breezes. In 1913, to cut costs, ""pay as you enter"" cars eliminated the need for conductors. Buses and automobiles eventually put trolleys out of business.","42° 16.689′ N, 83° 44.931′ W",N/A,Ann Arbor Historical Foundation,,1
14,"Ann Arbor's New ""Streamlined"" Bus Depot",Colonial/settler,,"Ann Arbor's Art Moderne-style bus depot, touted as one of the most up-to-date in the country, was officially opened in September 1940. A large crowd of dignitaries and admirers assembled as the mayor cut a maize and blue satin ribbon stretched across the glass doors.

The crowd was invited to inspect the station's impressive interior. Modern in all details, it illustrated how popular and important bus travel was in the 1940s. The Ann Arbor News reported that the front exterior was of Indiana limestone and polished black marble with stainless steel and aluminum trim. A large neon sign informed the public that buses of the Blue Goose, Shortway, and Greyhound lines used the station, which included a completely covered passenger loading platform and bus roadway.

The original interior of the depot consisted of a modern waiting room (above right) with terrazzo floor, harmonizing colors, stainless steel trim, and 62 natural birch seats. A telegraph booth, baggage room, and ticket office welcomed those who entered from Huron. A sparkling polished steel lunch counter with 12 seats lined the wall on the left.


Major alterations were made in the decades that followed. The lunch counter was removed in the 1960s. Many of the other decorative elements were lost in a series of Greyhound station remodelings in the 1970s. The interior was later described as having an ""industrial plainness"" — barren long before the station was demolished in 2014 by First Martin Corporation to make way for a hotel. Although historic elements of the façade and marquee had fallen into disrepair, they have been carefully restored and retained.","42° 16.894′ N, 83° 44.96′ W",N/A,N/A,,1
15,Anson Brown and Early Lower Town,Colonial/settler,,"New York native Anson Brown erected his Exchange Block on Broadway in 1831-32 (see map). He was determined to make this side of the river, Lower Town, the center of Ann Arbor. Where the Potawatomi Trail crossed the Huron River, a wooden bridge had been built in 1828 to carry traffic from Detroit, Plymouth, and Pontiac. Brown and his partners, Edward L. Fuller and Dwight Kellogg, had bought river power rights in 1829 ""including the water privilege or right to dig a canal or race"" from an upstream dam to power a grist mill and a saw mill north of the bridge.

The partners laid out streets with New York City names: Broadway, Maiden Lane, Canal, and Wall. By 1832 Brown and his wife Desire, sister of his partner Edward L.. his partner d Fuller, had built a home on a bluff overlooking his store and office in the I a Exchange Block Block. The next year Brown captured the appointment of postmaster, angering the upper village ""Hill-Toppers"" who then had to come to his store to get their mail. At the same time, Brown was working to convince federal authorities to cut a northern route from Detroit to Chicago through Lower Town. To accommodate the expected traffic, Brown and Fuller built the Washtenaw House, a thirty-two-room hotel with bar and ballroom, which fit well into Brown's transportation hopes.

Brown's ambitious dreams died with him in the cholera epidemic of 1834. A ""Hill-Topper"" quickly replaced him as postmaster, and the post office moved back up the hill. Brown's widow and heir, Desire, married Dr. Caleb Ormsby two years later, and they, along with her brother Edward Fuller, gradually sold off Anson's extensive Lower Town properties.

The arrival of the railroad on the other side of the river in 1839, the opening of the University of Michigan in the upper village in n 1841, and failure to achieve a Lower Town route to Chicago worked together to deny realization of Anson Brown's hopes for the future.

Lower Town, however, survived as a distinct neighborhood with its own school,industry, and commercial center. Workers and business owners lived in homes that still stand on Broadway, Pontiac, and Traver. The area was incorporated into Ann Arbor as the Fifth Ward in 1861.

Anson Brown's Exchange Block remains the oldest surviving commercial building in Ann Arbor.","42° 17.31′ N, 83° 44.123′ W",2014,University of Michigan,,1
16,Antislavery Society,Colonial/settler,African Americans/Enslaved/Freed Blacks/etc.,"The founding meeting of the Michigan Antislavery Society was held in the First Presbyterian Church, located on this site, on November 10, 1836. Delegates from six counties elected officers and adopted fourteen resolutions denouncing slavery. This convention led to the establishment in Jackson in 1839 of the American Freeman, the state’s first antislavery newspaper, and its successor, Ann Arbor’s Signal of Liberty, in 1841.","42° 16.87′ N, 83° 44.673′ W",1976,"Michigan History Division, Department of State",,1
17,Architecture & Business on Courthouse Square,Colonial/settler,,"By the late 1870s, Ann Arbor was a thriving and prosperous business center. The streets facing Courthouse Square contained some of the town's grandest commercial buildings. Originally, the northwest corner of Main and Huron was the site of a small, two-story, log block house built by town founder John Allen in 1824. Later expanded and painted red, Allen's former home was called ""Bloody Corners."" It housed a tavern, inn, and store before being replaced by Ann Arbor's first large hotel, the ""Franklin House.""

The imposing Gregory Block was built on this site in 1862. For over a century it provided space for a wide variety of establishments, including a hotel, banks, bars, bookstores, a post office, and Municipal Court offices. It became known as the Masonic Block when Masonic lodges occupied the second and third floors from 1885 to 1926.

By the time of its destruction in a 1971 fire, the Gregory Block's rich architectural details had been hidden under a facade of blue and white metal panels. The present building was constructed in 1986. 
The Glazier Building still stands across Main Street to your left. It was built by Chelsea Stove manufacturer and State Treasurer Frank P. Glazier (right) to house his newspaper and offices. A symbol of his wealth, ambition, and influence, it became instead a reminder of personal failure. Bankruptcy—followed by a prison term for embezzlement—forced him to resign as state treasurer before the building was completed in 1908.

Except for the loss of the elaborate pressed-metal cornice, the exterior of what was once Ann Arbor's tallest building has changed little from the time of its construction.","42° 16.893′ N, 83° 44.901′ W",N/A,Ann Arbor Historic District Commission,,1
18,At Home in the 19th Century,Colonial/settler,,"Civic leader Silas Douglas, dean of the UM medical faculty and twice mayor of Ann Arbor, lived in this home at 502 East Huron Street from 1848 until 1902. His three daughters, Kate, Marie, and Louise, shown here around 1890, enjoyed the luxuries of privileged America. Kate wrote in her reminiscenses, ""Ann Arbor society was unusually good for a small place.... There were many tea parties where both gentlemen and ladies were invited. They sat around little tables enjoying the good supper and pleasant talk.... They often had dances in private homes.... There were many tableaux too, which we had in our bay window."" In contrast, Harriet Noble recalled that when she arrived from New York State in late 1824, ""there were six or seven log huts occupied by as many inmates as could crawl into them.""

Publisher, school board member, and later UM regent Junius Beal lived with his family in this fifteen-room mansion, built by his father in the 1860s on the northeast corner of South Fifth Avenue and William Street. Beal was an avid bicycle enthusiast. His many civic and business connections brought a wide variety of people to his home, as ""the center of true social life and hospitality.""

A guest in Beal's home in the 1890s would have been surrounded by books, pictures, bric-a-brac, tasseled draperies, ornate furniture, and one of the first home telephones in town. Large rooms were illuminated by floor-to-ceiling lace-curtained windows during the day or kerosene lamps and overhead chandeliers in the evening. The house was demolished in 1957 to make way for the public library","42° 16.774′ N, 83° 44.636′ W",N/A,Ann Arbor Historical Foundation,,1
19,The Baptist Church and Meeting House,Colonial/settler,,"In 1832 a small group of Baptist worshipers were meeting in a room above Anson Brown's new store in the Exchange Block on Broadway. Anson's 27-year-old brother Daniel and Daniel's wife, Ann Vickery Brown, were baptized that year. Daniel was elected to the office of deacon, a position he held until 1877, years after the Baptist church moved to the upper village.

After Anson Brown's death from cholera in 1834, his real estate partners ejected this small band of Baptists. He had promised to donate a building lot and $200 and was organizing a subscription to build a church on Wall Street. The partners refused to deed the lot to the church. Daniel Brown used his financial power to force the partners to transfer the lot. He collected the subscription money needed to erect this church, which cost less than $500 and seafed fewer than 100. By 1841 the building was doubled in size.

George Washington Pray was a member of the first graduating class at the University of Michigan in 1845. He was converting to the Baptist religion in part because he was impressed with the sermons of Professor Andrew Ten Brook, who was pastor of the Baptist church in 1845-47 and in 1848-49 when a new brick church was built on Catherine Street.

After a sermon in March 1845, a multitude assembled by the Wall Street Bridge, not just Baptists, but Methodists and Presbyterians too. Pray wrote, ""Just before baptism a part of the bridge, which was the most crowded, fell and about. sixty persons, nearly all women and children, were precipitated together into the river. As the bridge fell one yell arose from all the multitude and then there was a rush-all were saved-and none were much hurt. All were wet and very much frightened. There was a great loss of fine clothes. It is a wonder that all escaped alive and uninjured. After all the confusion had subsided seven of us were baptized.""

For decades the Baptist church on Wall Street was available for use as a Lower Town meeting house by numerous religious, social, educational, and political groups, including the district school. and the Northside Union Church.","42° 17.293′ N, 83° 44.079′ W",2014,University of Michigan,,1
20,Bethlehem Cemetery,Colonial/settler,,"The land for this cemetery was deeded to the First German Evangelical Society of Scio Township in 1833. The first burial was held in 1834. Bethlehem Cemetery is considered to be the one of the oldest and largest cemeteries in Washtenaw County. It contains the graves of many notable German and Greek families. Located by Jackson Road on the outskirts of Ann Arbor, the cemetery was accessible to farmers in the outlying areas. The original Bethlehem Church shared its land with the cemetery. A large memorial stone marks the location of the original church.","42° 16.84′ N, 83° 47.168′ W",N/A,Washtenaw County Historic District Commission,,1
21,Bethlehem Cemetery Veterans Memorial,Colonial/settler,,"In Memory
Of All Veterans
Who Served Our Country
In Time Of War","42° 16.902′ N, 83° 47.169′ W",N/A,N/A,,1
22,Bethlehem United Church of Christ,Colonial/settler,,"In the late 1820s and early 1830s many German Protestant immigrants settled in the Ann Arbor area. Desiring to worship in German, they wrote to Switzerland's Basel Mission to request a pastor. On August 20, 1833, the Reverend Friedrich Schmid arrived to help found one of Michigan's first German congregations. The church was formally organized on November 3, 1833, as the First German Evangelical Society of Scio. The next month, the congregation completed a modest log structure at the site of the present Bethlehem Cemetery. It built a second church at First and Washington in 1849, and in 1896 dedicated the present stone structure. From 1846 to 1916 the church conducted a parochial school. In 1945 the congregation became an Evangelical and Reformed church; it joined the United Church of Christ in 1958","42° 16.613′ N, 83° 44.838′ W",1983,"Michigan History Division, Department of State",,1
23,Brown and Fuller's Addition—1832,Colonial/settler,,"In 1832 Anson Brown, his brother-in-law Edward L. Fuller, and Dwight Kellogg were partners in presenting their ambitious plans to incorporate and develop the area north of the Huron River as the first addition to the Village of Ann Arbor. Streets and lots were carefully laid out and named.

An earlier mill race and sawmill south of the river (1) were challenged by their plans to improve the dam (2), create a new 40-foot wide ""Mill Canal"" (3) use water power to operate a new sawmill (4) and flour mill (5) just beyond the wooden bridge where ""Detroit Street"" (6), now Broadway, led toward open land suitable for farming and grazing on the way to Pontiac, Plymouth, and Detroit. Speculating on land development and lot sales, the partners hoped this would be the future center of Ann Arbor.

Anson Brown was no stranger to commercial enterprise. He arrived in Ann Arbor in 1827 at the urging of his older brother Daniel. Both young men had worked with their father, a contractor on the Erie Canal before it opened in 1825. Anson brought with him the first large assortment of goods trans- ported for sale in Washtenaw County.

Only three years after the town was founded in 1824, Anson joined Daniel in operating a wood frame Main Street store that imported groceries and general merchandise from east. Furs, cranberries, and wild honey from Native Americans were bartered for goods and shipped to New York City. Anson-ambitious, bright, and energetic-soon developed bigger plans, and they were not for Main Street.","42° 17.311′ N, 83° 44.124′ W",2014,University of Michigan,Mentions Native Americans,1
24,Building New Around Old: The Construction of the Present Courthouse,Colonial/settler,,"Washtenaw County solved a dilemma in 1954. By the terms of town founder John Allen's original gift, proceeds of the sale of the Courthouse Square land might go to Allen's heirs, not to the county, if it were sold for other use. That incentive to keep the courthouse on the same site presented the unattrative prospect of moving the entire operation of the county to another site during construction, then moving back once the new courthouse was finished.

The architect's plan cleverly solved this problem and provided parking as well. The new courthouse was built around three sides of the existing structure, which continued to function until the new building was finished in 1955.

The old building was then torn down and the space it occupied became a parking lot. An employee then working at the courthouse recalled, ""I could open my window and reach out about 12 inches and touch the new building."" Much of the move was made by employees handing materials through the old windows into the windows of the new structure.

The diagram (inset above) shows the locations of the three courthouses on this site. The first was built in 1834 and razed in 1878 to make way for the second courthouse, completed that same year. The cornerstone for the present courthouse was laid in 1954, and the new building was dedicated in 1956","42° 16.891′ N, 83° 44.885′ W",N/A,Ann Arbor Historical Foundation,,1
25,Business and Banking,Colonial/settler,,"Four years after Ann Arbor's First National Bank was established in 1863 under strong new federal banking laws, dry goods merchant Philip Bach and foundry owner Volney Chapin joined other local investors to build a brick business block to house their bank. Next door was the Phoenix Insurance Company, one of the nineteen local companies thriving on business stimulated by the constant threat of fire. Demonstrating the new strength of the local business climate, fueled by the economic boom of the Civil War, the Ann Arbor Business College and Telegraph Institute opened above Bach's dry goods shop on the corner.

The college advertised courses in ""Bookkeeping, Railroading, Steamboating, Banking, Jobbing and Importing, Commercial Law, Business Penmanship, and Telegraphing."" Fees for ""ladies"" were $5 less than those for ""young men."" Judge Thomas Cooley, professor of law at the University conducted the law department and brought to this lectures ""the fresh and forcible illustration of actual experience.""

Other banks soon followed First National on Main Street: Ann Arbor Saving in 1869, Farmers and Mechanics in 1883, State Savings in 1892, and German-American Savings in 1906.

In 1886, in order to reduce dependence on University prosperity, promote existing business interests and attract other ventures, the Business Men's Association - the forerunner of today's Chamber of Commerce - was formed.","42° 16.823′ N, 83° 44.908′ W",N/A,Ann Arbor Historical Foundation,,1
26,Campus Patterns of Residential Life,Colonial/settler,,"Large, luxurious homes with extensive grounds lined Washtenaw Avenue when UM Librarian Andrew Ten Brook built his mansion across the street in the 1860s. Financial hardship soon required Ten Brook’s wife to open a boarding house, providing meals for students in her home.

Making homes into rooming houses began in 1858, when the university turned its dormitories into classrooms. In 1892 Phi Kappa Psi began the trend to convert Washtenaw’s mansions to fraternities, when it moved into merchant Chauncey Millen’s house at the corner of Hill Street. Phi Delta Theta replaced Ten Brook’s residence in 1903 with a new house designed by Albert Kahn, and Sigma Alpha Epsilon occupied the home of manufacturer George Bullis to your right. Kappa Alpha Theta sorority remodeled the house next door in 1916. A year earlier, private benefactors had funded the first women’s dormitories, Helen Newberry and Martha Cook. By 1941 eight more dormitories had been added for both men and women. Student cooperatives became part of the housing mix in the 1930s during the Depression, with shared housekeeping responsibilities reducing costs.

In 1906 Ann Arbor’s first apartment house, the Cutting, was built at Monroe and State. The Anberay opened on East University in 1923, the same year the city’s first zoning ordinance limited apartment blocks and rooming houses to areas adjacent to campus. By the end of the century, most houses near campus had been converted to apartments.","42° 16.505′ N, 83° 43.91′ W",N/A,N/A,,1
27,Carnegie Library,Colonial/settler,,"Ann Arbor's Carnegie Library (above), serving both the high school and the general public, opened in 1907. It was the only library donated by Andrew Carnegie that was attached to another building.

Earlier, in 1866, thirty-five women had put in three dollars each to start the Ladies' Library Association and pledged a dollar a year to purchase books for the public to borrow. As the collection grew, they constructed their own building in 1885 (inset above).

Books in the high school were always available to the public. In 1883 they were moved from the superintendent's office to a second floor room. Twenty-three-year-old Nellie Loving was hired as librarian.

In 1904 the school board and the city council were awarded $30,000 of Carnegie's funds to build a public library. The grant came just in time — on the last night of the year, the high school burned down. Nellie Loving, who lived only a block away, joined hundreds of students and teachers to save more than 8,000 books. Many were moved to the old Methodist Church across State Street while the new school and attached library were built.

Nellie Loving set up a course to teach students how to use the library and in 1910 started the children's department. In 1916 the Ladies' Library donated all of its 4,600 books to the public library. Loving retired in 1922. High school books were later moved to the third floor, with the public library below.

In the 1950s, after UM purchased the property, the Board of Education erected a new public library on Fifth Avenue at William Street and a new high school on Stadium Boulevard.","42° 16.868′ N, 83° 44.399′ W",N/A,Ann Arbor Historical Foundation,,1
